Date,Close
4/27/2020,1270.859985
4/28/2020,1232.589966
4/29/2020,1342.180054
4/30/2020,1346.699951
5/1/2020,1317.319946
5/4/2020,1322.900024
5/5/2020,1349.02002
5/6/2020,1345.430054
5/7/2020,1369.280029
5/8/2020,1384.339966
5/11/2020,1403.589966
5/12/2020,1375.180054
5/13/2020,1348.329956
5/14/2020,1356.859985
5/15/2020,1373.060059
5/18/2020,1385.180054
5/19/2020,1374.400024
5/20/2020,1409.160034
5/21/2020,1406.75
5/22/2020,1413.23999
5/26/2020,1421.369995
5/27/2020,1420.280029
5/28/2020,1418.23999
5/29/2020,1433.52002
6/1/2020,1434.869995
6/2/2020,1442.310059
6/3/2020,1439.25
6/4/2020,1414.300049
6/5/2020,1440.02002
6/8/2020,1448.040039
6/9/2020,1452.079956
6/10/2020,1464.699951
6/11/2020,1401.900024
6/12/2020,1412.920044
6/15/2020,1420.73999
6/16/2020,1446.469971
6/17/2020,1452.540039
6/18/2020,1434.119995
6/19/2020,1424.640015
6/22/2020,1450.660034
6/23/2020,1463.97998
6/24/2020,1432.699951
6/25/2020,1441.099976
6/26/2020,1362.540039
6/29/2020,1397.170044
6/30/2020,1418.050049
7/1/2020,1442
7/2/2020,1469.930054
7/6/2020,1499.650024
7/7/2020,1489.920044
7/8/2020,1503.599976
7/9/2020,1518.660034
7/10/2020,1539.01001
7/13/2020,1512.22998
7/14/2020,1520.859985
7/15/2020,1516.880005
7/16/2020,1514.920044
7/17/2020,1516.849976
7/20/2020,1563.839966
7/21/2020,1555.920044
7/22/2020,1564.849976
7/23/2020,1516.75
7/24/2020,1508.209961
7/27/2020,1529.430054
7/28/2020,1503.650024
7/29/2020,1523.51001
7/30/2020,1538.369995
7/31/2020,1487.949951
8/3/2020,1482.76001
8/4/2020,1473.300049
8/5/2020,1479.089966
8/6/2020,1504.949951
8/7/2020,1498.369995
8/10/2020,1496.819946
8/11/2020,1480.540039
8/12/2020,1507.23999
8/13/2020,1516.650024
8/14/2020,1504.630005
8/17/2020,1516.23999
8/18/2020,1555.780029
8/19/2020,1544.609985
8/20/2020,1576.25
8/21/2020,1575.569946
8/24/2020,1585.150024
8/25/2020,1605.849976
8/26/2020,1644.130005
8/27/2020,1628.52002
8/28/2020,1639.430054
8/31/2020,1629.530029
9/1/2020,1655.079956
9/2/2020,1717.390015
9/3/2020,1629.51001
9/4/2020,1581.209961
9/8/2020,1523.599976
9/9/2020,1547.22998
9/10/2020,1526.050049
9/11/2020,1515.76001
9/14/2020,1508.829956
9/15/2020,1535.119995
9/16/2020,1512.089966
9/17/2020,1487.040039
9/18/2020,1451.089966
9/21/2020,1430.140015
9/22/2020,1459.819946
9/23/2020,1409.390015
9/24/2020,1422.859985
9/25/2020,1439.060059
9/28/2020,1458.660034
9/29/2020,1466.02002
9/30/2020,1465.599976
10/1/2020,1487.900024
10/2/2020,1455.599976
10/5/2020,1482.829956
10/6/2020,1451.02002
10/7/2020,1459.140015
10/8/2020,1483.430054
10/9/2020,1510.449951
10/12/2020,1564.589966
10/13/2020,1567.069946
10/14/2020,1563.439941
10/15/2020,1555.469971
10/16/2020,1567.699951
10/19/2020,1529.949951
10/20/2020,1551.079956
10/21/2020,1585.98999
10/22/2020,1606.660034
10/23/2020,1632.97998
10/26/2020,1584.290039
10/27/2020,1598.880005
10/28/2020,1510.800049
10/29/2020,1556.880005
10/30/2020,1616.109985
11/2/2020,1624.319946
11/3/2020,1645.660034
11/4/2020,1745.849976
11/5/2020,1762.5
11/6/2020,1759.72998
11/9/2020,1761.420044
11/10/2020,1737.719971
11/11/2020,1747.22998
11/12/2020,1742.819946
11/13/2020,1772.26001
11/16/2020,1774.030029
11/17/2020,1761.660034
11/18/2020,1740.640015
11/19/2020,1758.569946
11/20/2020,1736.380005
11/23/2020,1727.560059
11/24/2020,1763.900024
11/25/2020,1764.130005
11/27/2020,1787.02002
11/30/2020,1754.400024
12/1/2020,1795.359985
12/2/2020,1824.969971
12/3/2020,1821.839966
12/4/2020,1823.76001
12/7/2020,1817.030029
12/8/2020,1811.329956
12/9/2020,1777.859985
12/10/2020,1767.650024
12/11/2020,1774.800049
12/14/2020,1752.26001
12/15/2020,1761.079956
12/16/2020,1757.189941
12/17/2020,1740.51001
12/18/2020,1726.219971
12/21/2020,1734.560059
12/22/2020,1720.219971
12/23/2020,1728.22998
12/24/2020,1734.160034
12/28/2020,1773.959961
12/29/2020,1757.76001
12/30/2020,1736.25
12/31/2020,1752.640015
1/4/2021,1726.130005
1/5/2021,1740.050049
1/6/2021,1722.880005
1/7/2021,1774.339966
1/8/2021,1797.829956
1/11/2021,1756.290039
1/12/2021,1737.430054
1/13/2021,1747.25
1/14/2021,1730.920044
1/15/2021,1727.619995
1/19/2021,1784.469971
1/20/2021,1880.069946
1/21/2021,1884.150024
1/22/2021,1892.560059
1/25/2021,1894.280029
1/26/2021,1907.949951
1/27/2021,1818.939941
1/28/2021,1853.199951
1/29/2021,1827.359985
2/1/2021,1893.069946
2/2/2021,1919.119995
2/3/2021,2058.879883
2/4/2021,2053.629883
2/5/2021,2088.830078
2/8/2021,2084.52002
2/9/2021,2075.389893
2/10/2021,2086.47998
2/11/2021,2088.75
2/12/2021,2095.030029
2/16/2021,2110.699951
2/17/2021,2118.620117
2/18/2021,2105.810059
2/19/2021,2088.810059
2/22/2021,2054.26001
2/23/2021,2060.120117
2/24/2021,2083.810059
2/25/2021,2015.949951
2/26/2021,2021.910034
3/1/2021,2069.659912
3/2/2021,2064.47998
3/3/2021,2011.410034
3/4/2021,2033.930054
3/5/2021,2097.070068
3/8/2021,2007.5
3/9/2021,2040.359985
3/10/2021,2036.189941
3/11/2021,2100.540039
3/12/2021,2050
3/15/2021,2054.439941
3/16/2021,2083.889893
3/17/2021,2082.219971
3/18/2021,2021.339966
3/19/2021,2026.959961
3/22/2021,2030.689941
3/23/2021,2041.329956
3/24/2021,2032.530029
3/25/2021,2032.459961
3/26/2021,2024.72998
3/29/2021,2045.790039
